City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Mingaora,PK,2021-09-28 19:24:25,34.7758,72.3625,71.2,75,0,4.74
192,Pringsewu,ID,2021-09-28 19:29:21,-5.3582,104.9744,74.12,97,98,1.05
193,Huilong,CN,2021-09-28 19:29:21,31.8111,121.655,75.97,85,25,11.01
194,Southbridge,US,2021-09-28 19:29:21,42.0751,-72.0334,66.56,77,100,5.73
195,Batagay,RU,2021-09-28 19:29:22,67.6333,134.6333,19.78,92,33,2.37
196,Hobyo,SO,2021-09-28 19:29:22,5.3505,48.5268,79.27,80,35,26.87
197,Sinnamary,GF,2021-09-28 19:29:23,5.3833,-52.95,84.47,68,99,8.5
198,Sayat,TM,2021-09-28 19:29:23,38.7839,63.8803,64.27,28,0,9.22
199,Black River,JM,2021-09-28 19:29:23,18.0264,-77.8487,88.99,61,4,8.84
200,Dormagen,DE,2021-09-28 19:29:24,51.1,6.8333,58.33,82,100,6.49
201,Iskateley,RU,2021-09-28 19:29:24,67.6803,53.1512,38.16,89,43,1.81
202,Starkville,US,2021-09-28 19:24:59,33.4504,-88.8184,86.68,63,86,6.06
203,Esperance,AU,2021-09-28 19:29:10,-33.8667,121.9,49.84,87,100,7.96
204,Mazagao,BR,2021-09-28 19:29:25,-0.115,-51.2894,93.25,43,42,7.27
205,Holme,DK,2021-09-28 19:29:25,56.1138,10.1725,55.26,87,81,6.46
206,Ponta Delgada,PT,2021-09-28 19:29:26,37.7333,-25.6667,77.5,83,20,8.05
207,Muros,ES,2021-09-28 19:29:26,42.7762,-9.0603,63.84,85,10,4.79
208,Salinas,US,2021-09-28 19:25:09,36.6777,-121.6555,75.0,55,1,8.05
209,Carndonagh,IE,2021-09-28 19:29:27,55.25,-7.2667,47.82,88,63,6.38
210,Sitka,US,2021-09-28 19:29:27,57.0531,-135.33,51.69,62,75,9.22
211,Mezhdurechenskiy,RU,2021-09-28 19:29:27,59.6,65.9333,40.15,76,100,6.51
212,Torbay,CA,2021-09-28 19:29:28,47.6666,-52.7314,66.67,64,75,20.71
213,Ojinaga,MX,2021-09-28 19:29:28,29.5667,-104.4167,88.57,30,1,9.22
214,Labuhan,ID,2021-09-28 19:24:51,-6.8844,112.2051,77.81,79,25,8.12
215,Kamaishi,JP,2021-09-28 19:29:29,39.2667,141.8833,62.64,86,42,4.0
216,Inta,RU,2021-09-28 19:29:29,66.0317,60.1659,37.15,98,100,5.06
217,Sehithwa,BW,2021-09-28 19:29:30,-20.4667,22.7167,78.28,13,7,5.75
218,Darnah,LY,2021-09-28 19:29:30,32.767,22.6367,75.56,81,1,16.49
219,Bubaque,GW,2021-09-28 19:29:30,11.2833,-15.8333,81.73,76,5,9.08
220,Salamiyah,SY,2021-09-28 19:29:31,35.0113,37.0532,68.4,74,0,9.04
221,Lebu,CL,2021-09-28 19:29:31,-37.6167,-73.65,55.27,62,100,10.16
222,Codrington,AU,2021-09-28 19:29:31,-38.2667,141.9667,51.51,61,100,7.4
223,Lavrentiya,RU,2021-09-28 19:25:16,65.5833,-171.0,29.43,81,100,2.62
224,Tripoli,LY,2021-09-28 19:29:32,32.8752,13.1875,77.88,72,0,8.16
225,Taltal,CL,2021-09-28 19:29:33,-25.4,-70.4833,66.18,64,24,6.06
226,Uyuni,BO,2021-09-28 19:29:33,-20.4597,-66.825,64.87,12,0,8.08
227,Kawalu,ID,2021-09-28 19:29:33,-7.3817,108.2082,68.7,95,70,1.12
228,Saint-Augustin,CA,2021-09-28 19:26:09,51.226,-58.6502,58.84,60,14,18.23
229,Singaraja,ID,2021-09-28 19:29:34,-8.112,115.0882,76.96,81,28,4.14
230,Strathmore,CA,2021-09-28 19:29:34,51.0501,-113.3852,66.38,47,100,7.0
231,Kabanjahe,ID,2021-09-28 19:29:35,3.1001,98.4908,61.56,97,100,1.7
232,Port Keats,AU,2021-09-28 19:29:35,-14.25,129.55,77.94,85,100,5.01
